	x	y	scan1	scan2	boolean_x	boolean_y	combination
292	-10.342944147142896	-9.892790030352131	5536.0	5002.0	True	True	Both identifications are reported
293	-5.562249437179612	-6.106793246940152	5554.0	8212.0	True	True	Both identifications are reported
294	-12.619788758288394	-8.665546248849068	5614.0	2139.0	True	True	Both identifications are reported
295	-7.295849483160201	-3.2334324868194013	5652.0	8127.0	True	True	Both identifications are reported
296	-14.199282921717614	-3.3804371335791727	5653.0	3599.0	True	False	Only one identification is reported
297	-4.761953896871205	-2.1020437942483765	5673.0	8218.0	True	False	Only one identification is reported
298	-5.321481620959886	-2.1020437942483765	5683.0	8218.0	True	False	Only one identification is reported
299	-5.701146923590294	-3.8412141565565796	5684.0	5151.0	True	True	Both identifications are reported
300	-4.559090917934783	-2.7756162339765673	5698.0	8413.0	True	False	Only one identification is reported
301	-6.1904402853647325	-6.231361898752386	5835.0	8733.0	True	True	Both identifications are reported
302	-8.96657624451305	-11.995678626217357	5849.0	6249.0	True	True	Both identifications are reported
303	-9.441291429466835	-11.995678626217357	5866.0	6249.0	True	True	Both identifications are reported
304	-12.279840696594043	-8.016824927962187	5953.0	2426.0	True	True	Both identifications are reported
305	-11.204815410317575	-8.016824927962187	5961.0	2426.0	True	True	Both identifications are reported
306	-9.747146969020108	-21.943095148663527	6025.0	8081.0	True	True	Both identifications are reported
307	-7.22767829327708	-8.016824927962187	6048.0	2426.0	True	True	Both identifications are reported
308	-7.1904402853647325	-21.943095148663527	6058.0	8081.0	True	True	Both identifications are reported
309	-10.7281583934635	-15.554395796726402	6114.0	4102.0	True	True	Both identifications are reported
310	-16.27901425584626	-8.96657624451305	6142.0	5849.0	True	True	Both identifications are reported
311	-23.906578314837766	-8.96657624451305	6157.0	5849.0	True	True	Both identifications are reported
312	-12.067019178076801	-13.30715308072277	6164.0	9247.0	True	True	Both identifications are reported
313	-13.744727494896694	-13.30715308072277	6173.0	9247.0	True	True	Both identifications are reported
314	-7.442492798094342	-2.971987345592869	6237.0	8581.0	True	True	Both identifications are reported
315	-11.995678626217357	-5.168770306132936	6249.0	7083.0	True	True	Both identifications are reported
316	-5.847711655616943	-7.396855627379818	6293.0	10588.0	True	True	Both identifications are reported
317	-7.085656842880559	-2.7166625815975083	6433.0	7089.0	True	True	Both identifications are reported
318	-2.0609426429621167	-6.1180450286604	6690.0	7435.0	False	True	Only one identification is reported
319	-10.428291168191313	-5.847711655616943	6892.0	6293.0	True	True	Both identifications are reported
320	-13.385102783966865	-3.3804371335791727	6910.0	3599.0	True	True	Both identifications are reported
321	-9.669586226650809	-6.0835460514500745	6926.0	4112.0	True	True	Both identifications are reported
322	-12.387216143280265	-9.034798298974088	6930.0	7762.0	True	True	Both identifications are reported
323	-8.164943898279883	-8.96657624451305	6969.0	5849.0	True	True	Both identifications are reported
